863,1019,23.759596,38.043807
865,1019,23.855766,38.00542
866,1019,23.86571,38.00624
867,1019,23.828859,38.022838
870,1019,23.807806,38.045394
870,1019,23.807806,38.045394
872,1019,23.759935,38.067916
874,1019,23.876192,38.000308
876,1019,23.816717,38.086586
879,1019,23.893124,37.981711
882,1019,23.822864,38.093891
883,1019,23.879398,38.002604
884,1019,23.820916,38.03474
885,1019,23.797686,38.015872
887,1019,23.881218,37.990023
888,1019,23.855373,38.172713
889,1019,23.730564,38.009586
891,1019,23.76857,37.989047
892,1019,23.794556,38.004787
893,1019,23.821172,38.074409
895,1019,23.814987,38.015712
896,1019,23.818148,38.089
897,1019,23.840914,38.131255
898,1019,23.881948,37.990508
899,1019,23.789985,38.089965
900,1019,23.761368,38.042186
901,1019,23.931288,37.873813
903,1019,23.783453,38.091071
905,1019,23.871987,37.994006
906,1019,23.875036,37.992152
908,1019,23.914758,37.867385
910,1019,23.816224,38.012638
912,1019,23.760069,38.039683
913,1019,23.841074,38.130916
914,1019,23.826548,38.247046
915,1019,23.881326,37.990157
916,1019,23.90975,37.870772
917,1019,23.811144,38.089527
920,1019,23.858511,38.007228
